Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,,16,yes,platinum,2,5,2,2,1,1,condominium,10,Johor,2,12262,853141,16025,Reject,7
1,employer,605505,19,no,normal,2,,2,2,1,2,,10,Johor,2,9251,882901,17082,Accept,9
1,employer,,,yes,normal,2,5,2,2,,3,condominium,10,Johor,,4919,540489,12613,Reject,8
1,employer,490216,,no,normal,2,5,,2,1,1,condominium,10,Johor,,4459,536727,10952,Accept,9
1,employer,292728,14,yes,normal,2,5,2,2,1,2,condominium,10,Johor,3,5628,774695,,Reject,8
1,employer,198118,,no,normal,2,5,2,,1,2,condominium,,Johor,2,11323,1350187,16349,Reject,7
1,employer,226681,,yes,gold,2,5,,,,1,condominium,10,Johor,,,615986,11172,Accept,7
1,employer,667042,21,no,normal,2,5,2,2,,2,condominium,10,Johor,,,,7543,Reject,8
1,employer,114428,24,yes,normal,,5,2,,,2,condominium,10,Johor,,11983,556822,12947,Accept,8
1,employer,,12,no,gold,2,5,2,2,,1,condominium,10,Johor,2,,1155848,18385,Reject,7
1,employer,238090,22,yes,normal,2,5,2,,1,2,condominium,10,Johor,,5109,629295,,Reject,8
1,employer,,10,no,platinum,,,2,,,3,condominium,10,Johor,1,,1010426,12328,Accept,7
1,employer,236478,23,yes,normal,2,5,2,,1,3,condominium,10,Johor,,6493,848730,11533,Accept,7
1,employer,,24,no,normal,2,5,2,2,,3,condominium,10,Johor,,5459,524595,15290,Accept,8
1,employer,244563,20,yes,normal,2,5,,2,1,3,condominium,10,Johor,2,,1251358,,Reject,6
1,employer,577456,13,no,normal,2,5,2,2,1,3,condominium,10,Johor,3,11886,1183881,12738,Accept,8
1,employer,,12,yes,gold,2,,2,,1,3,condominium,10,Johor,2,7593,786953,10878,Reject,7
1,employer,100443,14,no,normal,2,5,2,2,1,1,condominium,10,Johor,3,9947,561999,,Reject,8
1,employer,748282,18,yes,platinum,2,5,2,2,1,2,condominium,,Johor,,6209,672383,,Accept,6
1,employer,175553,12,no,,2,5,2,2,1,1,condominium,,Johor,,9972,1394542,8265,Reject,9
1,,196987,16,yes,gold,2,5,2,2,1,3,condominium,10,Johor,,,954301,16258,Reject,8
1,employer,473425,23,no,normal,,5,2,,1,3,condominium,10,Johor,3,,927502,17751,Accept,6
1,employer,210738,10,yes,normal,2,5,2,2,1,1,condominium,10,Johor,,,946444,,Reject,6
1,,,15,no,normal,2,5,,2,,1,,,Johor,,11852,1308511,10653,Accept,6
1,employer,508544,19,yes,normal,,5,2,,1,3,condominium,,Johor,3,9605,803230,,Accept,9
1,employer,,11,no,normal,2,5,2,,1,3,,,Johor,2,7185,1330083,,Accept,8
1,,247640,15,yes,normal,2,5,2,2,1,2,condominium,10,Johor,,6547,666752,,Accept,7
1,,255874,,no,platinum,,5,2,2,1,3,condominium,10,Johor,2,8538,834522,,Accept,9
1,employer,767690,,yes,platinum,2,,2,2,1,1,condominium,10,Johor,2,10051,1227772,12280,Accept,8
1,employer,249608,,no,gold,,5,2,2,1,2,condominium,10,Johor,1,9707,1011241,15707,Accept,7
1,,379899,13,yes,gold,2,,,2,1,3,condominium,10,Johor,2,,1413168,13576,Accept,8
1,employer,,18,no,gold,2,5,2,2,,1,condominium,10,Johor,,6552,,,Reject,9
1,employer,110747,15,yes,normal,2,5,,2,1,3,condominium,10,Johor,1,11154,1294348,18851,Reject,6
1,employer,379448,18,no,normal,2,5,2,2,1,1,condominium,10,Johor,2,10817,818703,,Accept,7
1,employer,362448,14,yes,normal,2,5,2,2,1,1,condominium,10,Johor,1,3698,538308,14981,Reject,6
1,employer,550775,24,no,normal,2,,2,,1,1,condominium,10,Johor,1,6425,481871,15957,Accept,8
